ID,Category,Subcategory,Topic,Content,Keywords
14,Weapons,Rifle,AK-203 Rifle Operation,"The AK-203 is being inducting into Indian Army replacing the INSAS. Caliber: 7.62x39mm. Effective range: 400m. Magazine: 30 rounds. Fully automatic capable. Manufactured at Amethi under Indo-Russian joint venture. The AK platform is known for reliability in adverse conditions including sand, mud, and extreme cold — suitable for Ladakh and desert operations. Malfunction clearance (immediate action): tap the magazine, rack the charging handle, observe the chamber, release the bolt, squeeze the trigger (TROSS drills).","AK-203, AK47, Kalashnikov, rifle, 7.62mm, Amethi, induction, automatic, malfunction, TROSS"
15,Weapons,Rifle,Sniper Rifle - Dragunov SVD,"The Dragunov SVD is the primary sniper rifle in Indian Army service. Caliber: 7.62x54mmR. Effective range: 800m (with optical sight), 1300m (maximum). Magazine: 10 rounds, semi-automatic. Equipped with PSO-1 telescopic sight with rangefinder reticle and infrared filter for detecting IR sources. Used extensively in counter-insurgency operations in J&K and counter-sniper roles along the LOC. Windage and elevation adjustments critical for high-altitude engagements due to thinner air and changed ballistics.","Dragunov, SVD, sniper rifle, 7.62mm, scope, optical sight, LOC, Kashmir, counter-sniper, long range"
16,Weapons,Crew-Served,Light Machine Gun - NEGEV,The IWI NEGEV LMG is used by Indian Army special forces and some infantry units. Caliber: 5.56x45mm. Belt fed or magazine. Rate of fire: 850-1000 rpm cyclic. Effective range: 1000m. The LMG provides suppressive fire to allow the rifle section to maneuver. Key principles: the LMG gunner should control burst length (5-7 round bursts) to prevent barrel overheating and maintain accuracy. Barrel changes are mandatory after sustained fire.,"LMG, light machine gun, NEGEV, suppressive fire, belt fed, fire support, infantry section"
17,Weapons,Crew-Served,Carl Gustaf Recoilless Rifle,"The Carl Gustaf (84mm) is a man-portable anti-armor and multi-role weapon used extensively by Indian Army infantry. It fires multiple warhead types: HEAT (anti-armor), HE (anti-personnel), ILLUM (illumination), SMOKE, and HEDP. Effective range: 300m vs armor, 700m vs area targets. Backblast danger zone: 100m arc, 60 degrees behind the weapon — never position personnel or flammable materials here. The Carl Gustaf was extensively used in the 1999 Kargil War against Pakistani bunkers.","Carl Gustaf, 84mm, recoilless rifle, anti-armor, HEAT, backblast, Kargil, bunker busting, infantry, RPG alternative"
18,Weapons,Crew-Served,Mortar - 81mm E1,"The 81mm mortar provides indirect fire support at the battalion level. Maximum range: 5,650m. Minimum range: 100m. Rate of fire: 15 rounds per minute (sustained: 4 rpm). Crew: 3-4 soldiers. Components: barrel, bipod, baseplate, sight. Key safety: misfired round — wait 2 minutes, then carefully extract (never look down the barrel). The mortar is the infantry battalion commander's closest artillery support. Used for suppression, illumination, and smoke missions.","mortar, 81mm, indirect fire, artillery, baseplate, bipod, fire support, infantry battalion, illumination, smoke"
19,Field Craft,Navigation,Map Reading Basics,"Topographic maps used by Indian Army are typically at 1:50,000 scale (2cm = 1km on ground). Grid references: 6-digit (100m accuracy), 8-digit (10m accuracy), 10-digit (1m accuracy). Always read grid references: RIGHT then UP (Easting then Northing). Contour lines show elevation — closer lines mean steeper terrain. Index contours (darker, labeled) appear every 5th line. A closed set of contours forming a circle indicates a hilltop. A 'V' shape in contours pointing uphill indicates a valley; pointing downhill indicates a ridge.","map reading, navigation, grid reference, topographic map, contour lines, easting, northing, terrain analysis, 1:50000"
20,Field Craft,Navigation,Compass and Bearings,"The prismatic compass is standard issue in the Indian Army. Magnetic bearing: reading from compass. Grid bearing: reading from map. Magnetic declination in India varies by region (check map margin). Converting map bearing to compass bearing: add the magnetic declination if west, subtract if east. Resection: take bearings to two or more known landmarks, plot back bearings on map — your position is where the lines intersect. Always check compass away from metal objects, weapons, and electronic equipment which cause deviation.","compass, bearing, navigation, prismatic compass, magnetic declination, resection, back bearing, field craft"
21,Field Craft,Navigation,GPS and Digital Navigation,"The Indian Army uses GPS receivers and increasingly NAVIC (Indian Regional Navigation Satellite System). Key skills: entering waypoints, tracking to a destination, understanding accuracy limitations (especially in deep jungle or mountainous terrain where satellite view is obstructed). Battery conservation: GPS should supplement, not replace map and compass skills. In electronic warfare environments, GPS may be jammed — soldiers must be confident in traditional navigation. MGRS (Military Grid Reference System) is the standard coordinate format for military GPS.","GPS, NAVIC, navigation, satellite, MGRS, waypoint, electronic warfare, jamming, battery, digital navigation"
22,Field Craft,Camouflage,Personal Camouflage Techniques,"Effective camouflage disrupts shape, shine, shadow, silhouette, and movement (5 S's). Shine: camouflage cream on all exposed skin, dull metallic parts with tape or cam cream. Shape: break up outline by adding local vegetation to helmet and clothing. Shadow: avoid standing in doorways or against light backgrounds. Silhouette: never stand on skylines. Movement: slow deliberate movement, freeze when in doubt, move at dusk or night when possible. In snow terrain (Ladakh, Siachen): white over-suits mandatory, avoid dark shadows cast by the body.","camouflage, concealment, 5 S's, silhouette, shadow, fieldcraft, snow camouflage, Siachen, observation"
23,Field Craft,Patrolling,Patrol Orders Format,"Indian Army patrol orders follow the SMEAC format: Situation (enemy and friendly forces), Mission (clear concise statement beginning with 'To' and containing who, what, where, when, why), Execution (scheme of maneuver, tasks to subordinates, coordinating instructions), Administration & Logistics (casualty evacuation, resupply, communications), Command & Signal (chain of command, radio frequencies, codewords, challenge and password). Rehearsals must cover Actions-on: enemy contact, casualty, getting lost, compromise.","SMEAC, patrol orders, mission briefing, operations order, execution, admin, command and signal, patrolling"
24,Field Craft,Patrolling,Immediate Action Drills on Contact,"On ambush: if caught in the killing zone — assault through or extract, do not freeze. Battle drills: section attack — Locate, Win the firefight, Attack, Consolidate (LWAC). On contact, the section commander shouts 'CONTACT!' followed by direction using clock method ('Contact 11 o'clock!'). Fire and movement: one group fires while the other moves — bounding overwatch. Never all move at the same time. On breaking contact: peel drill — last man fires, taps the shoulder of the man in front, moves to the rear, and the drill continues.","contact drill, ambush, battle drill, section attack, bounding overwatch, peel drill, break contact, immediate action, firefight"
25,Field Craft,Survival,Water Procurement and Purification,"Hydration is critical — dehydration degrades performance significantly before thirst is felt. Sources: streams, rain, dew, plant water. Signs of contamination: cloudy water, dead animals nearby, discolored vegetation. Purification methods: boiling (100°C for 1 minute, 3 minutes above 2000m altitude), iodine/chlorine tablets (issued in field kit, wait 30 minutes), water purification filters. Soldier's water consumption: minimum 2-3L/day in temperate conditions, 4-6L/day in desert or heavy exertion. Never share canteens — risk of disease transmission.","water, hydration, purification, dehydration, survival, iodine tablets, boiling, canteen, field craft"
26,Field Craft,Survival,Emergency Food and Foraging,"In a survival situation, food is less critical than water and shelter — a fit soldier can survive 3 weeks without food. Universal edibility test: touch plant to lips (wait 15 min), chew without swallowing (wait 15 min), eat small amount and wait 8 hours — proceed if no ill effects. Avoid: brightly colored plants, plants with milky sap, plants that smell of almonds (cyanide indicator), any mushrooms unless 100% certain. In India: coconut, bamboo shoots, roots of cattail, and most fruits that animals are seen eating are generally safe.","survival, foraging, food procurement, edibility test, jungle, emergency"
27,Field Craft,Survival,Emergency Shelter Construction,"Priority order in survival: Protection, Location, Water, Food (PLWF). Shelter protects from hypothermia, hyperthermia, and insects. Types: lean-to (simplest — requires only one upright support and covering material), A-frame, debris hut (mound of leaves providing insulation — effective in cold environments). Site selection: avoid flood plains, ant nests, dead wood above that could fall, areas with large animal tracks. Insulate from the ground — ground steals body heat 25x faster than air.","shelter, survival, lean-to, debris hut, protection, hypothermia, cold weather, field craft"
28,Technical,Communications,Radio Procedure,"Standard Indian Army radio procedure: Call sign of station called, then own call sign, then message, then 'Over' (reply expected) or 'Out' (conversation ended — never 'Over and Out'). Phonetic alphabet (NATO): Alpha, Bravo, Charlie, Delta, Echo, Foxtrot, Golf, Hotel, India, Juliet, Kilo, Lima, Mike, November, Oscar, Papa, Quebec, Romeo, Sierra, Tango, Uniform, Victor, Whiskey, X-ray, Yankee, Zulu. Numbers spoken digit by digit (e.g., 37 = 'Three Seven'). Radio silence: maintain unless operationally essential.","radio procedure, communications, call sign, phonetic alphabet, NATO alphabet, radio silence, Over, Out, signals"
29,Technical,Communications,Encryption and OPSEC,"Operational Security (OPSEC): Never transmit unit strength, location, or future plans in clear (unencrypted). Avoid patterns in communications that can be exploited by signals intelligence. Mobile phone use near operational areas is restricted — smartphones can reveal location through GPS metadata and towers. Social media posting of operational information is strictly prohibited and a punishable offense. Enemy SIGINT (Signals Intelligence) units actively monitor frequencies. Use encrypted radios (AREN series in Indian Army) for all sensitive communications.","OPSEC, encryption, signals intelligence, SIGINT, mobile phone, social media, communications security, radio, AREN"
30,Technical,Vehicles,BMP-2 Sarath Armored Vehicle,"The BMP-2 Sarath is the primary infantry fighting vehicle (IFV) of the Indian Army, manufactured indigenously at Ordnance Factory Medak. It carries up to 7 infantry soldiers plus 3 crew. Armament: 30mm 2A42 autocannon, 7.62mm PKT coaxial machine gun, Konkurs ATGM launcher. It is amphibious — can cross water obstacles by swimming. Crew roles: commander, gunner, driver. The driver uses periscopes in closed-down mode. Soldiers must know emergency exit procedures from all hatches.","BMP-2, Sarath, IFV, infantry fighting vehicle, Medak, Konkurs, amphibious, 30mm, armored vehicle"
31,Technical,Vehicles,T-90 Bhishma Main Battle Tank,"The T-90 Bhishma is the primary Main Battle Tank (MBT) of the Indian Army. Over 1,000 in service. Armament: 125mm smoothbore gun (can fire APFSDS, HEAT, and Refleks ATGM through barrel), 7.62mm coaxial MG, 12.7mm anti-aircraft MG. Engine: 1000hp diesel. Speed: 60 km/h road, 35 km/h off-road. Crew: 3 (commander, gunner, driver). Features: Kontakt-5 explosive reactive armor (ERA), Shtora active protection system. The T-90 was deployed extensively in Rajasthan desert operations and along northern borders.","T-90, Bhishma, main battle tank, MBT, 125mm, ERA, Kontakt, Shtora, armor, Rajasthan"
32,Technical,Vehicles,Vehicle Recovery and Maintenance,"Operators must conduct daily PMCS (Preventive Maintenance Checks and Services). Daily checks: fuel level, coolant level, oil level, battery terminals, tyre pressure, lights, brake check. If a vehicle is immobilized in combat: push it off the road if possible, mark its location on map, report up the chain, do not abandon it without authorization. Common field recovery: tow ropes, snatch blocks for mechanical advantage, sand channels for soft ground recovery. Never attempt to work under a vehicle supported only by a jack — use stands.","PMCS, vehicle maintenance, recovery, tow rope, daily checks, breakdown, field maintenance"
33,Tactical,Counter-Insurgency,Search Procedures,"Searching personnel in counter-insurgency: always have two soldiers — one searches, one covers with weapon ready. Search from head to toe: hat/turban, collar, torso, waistband, pockets, crotch area, down both legs, footwear. All jewelry and belt items checked. Vehicle search: engine bay, under chassis, door panels, beneath seats, spare tyre, fuel tank area. Never take eyes off the person being searched. Common IED concealment: inside walls, under road surface, inside animals, buried under culverts.","search procedure, counter-insurgency, CI ops, IED search, vehicle search, body search, Kashmir, insurgency"
34,Tactical,Counter-Insurgency,Cordon and Search Operations,"A cordon and search isolates a target area while a search party enters. Key elements: Outer cordon (prevents escape or reinforcement), Inner cordon (immediate perimeter of target building), Search party (systematic search of buildings), Reserve (ready to reinforce). Sequence: establish outer cordon covertly, move inner cordon into position, search party enters. Timing: often pre-dawn (0300-0500) to maximize surprise. All personnel accounted for before withdrawal. Lessons from Kashmir operations: always check rooftops, tunnels, and false walls.","cordon and search, C&S, counter-insurgency, Kashmir, J&K, operational tactics, outer cordon, inner cordon, CASO"
35,Tactical,Counter-Insurgency,IED Recognition and Response,"Improvised Explosive Devices (IEDs) are the primary threat in counter-insurgency. Indicators: disturbed earth, unusual objects on road (stones, plastic bags, wire), dead animals, parked vehicles unattended. Command wire IEDs: look for wire running away from road into vegetation. Vehicle-Borne IEDs (VBIEDs): suspect any vehicle parked unusually or abandoned. On suspected IED: stop, assess, report, keep clear (minimum 300m), inform EOD. Avoid using radios within 25m — can trigger radio-controlled IEDs. Cordon the area and wait for EOD.","IED, improvised explosive device, VBIED, command wire, EOD, bomb disposal, counter-insurgency, J&K, recognition, response"
36,Tactical,Counter-Insurgency,Lessons from Kargil War 1999,"The 1999 Kargil War highlighted several tactical lessons. Pakistani forces occupied high-ground features in Dras, Batalik, Mushkoh, and Kaksar sectors. Key lessons: importance of all-weather surveillance and aerial reconnaissance, danger of predictable patrol routes, need for dedicated high-altitude warfare training, critical role of artillery (Bofors guns decisive), need for night-vision equipment. Indian Army's Totak feature and Tiger Hill operations demonstrated successful combined arms coordination. Siachin experience proved vital for troops adapted to extreme altitude.","Kargil, 1999, Kargil War, Tiger Hill, Bofors, artillery, high altitude warfare, LOC, tactical lessons"
37,Tactical,NBC,Nuclear Biological Chemical Protection,"NBC (Nuclear, Biological, Chemical) threats require protective equipment: NBC suit, gloves, and S10 or similar respirator. Decontamination drill: remove contaminated clothing (careful not to touch skin), rinse skin with large amounts of water, proceed to decontamination station. Nerve agent signs: small pupils (miosis), excessive saliva, sweating, muscle twitching, seizures. Antidote: Atropine auto-injector (inject into outer thigh through clothing in emergency). Blister agent (mustard): no immediate pain — symptoms appear 2-24 hours later, causing blisters and eye damage.","NBC, CBRN, chemical, biological, nuclear, decontamination, nerve agent, atropine, respirator, protection"
38,Tactical,NBC,Detection of Chemical Agents,"Detection methods in Indian Army include: M8 paper (turns yellow-green for nerve/blister agents), M9 tape (turns pink/red/red-purple in presence of liquid agents), electronic detectors. Water test for blister agents: drop water on suspected area — mustard forms a distinct oily bead. On first suspicion of chemical attack: immediately don mask, give alarm (three blasts on whistle, shout 'Gas! Gas! Gas!'), don gloves and suit in correct order. Do not remove mask until cleared by NBC NCO with detection equipment.","chemical detection, M8 paper, M9 tape, gas mask, NBC alarm, blister agent, nerve agent, CBRN detection"
39,Administrative,Service,Army Act and Discipline,"The Army Act 1950 governs the Indian Army. Key sections relevant to soldiers: Section 39 (absence without leave), Section 40 (desertion), Section 41 (striking a superior officer), Section 45 (disgraceful conduct), Section 63 (prejudice to military discipline — residual clause). Punishment types: Summary punishment (awarded by Commanding Officer) and Court Martial (General, District, Summary General, Summary). Soldiers have the right to submit a complaint through the chain of command under Army Rules 177. Redressal mechanism: complaint to CO, then formation commander, then Army Headquarters.","Army Act 1950, discipline, AWOL, absence without leave, desertion, court martial, summary punishment, soldier rights, complaint, CO"
40,Administrative,Service,Promotion Criteria - Other Ranks,"Promotion in Indian Army for Other Ranks (ORs): Recruit to Sepoy (on completion of training), Sepoy to Naik (by selection/time scale after minimum service), Naik to Havildar, Havildar to Naib Subedar (JCO — major promotion gate), Naib Subedar to Subedar, Subedar to Subedar Major (highest JCO rank). Annual Confidential Reports (ACRs) are critical. Physical fitness tests (including running, pull-ups, and combat fitness) are mandatory for promotion boards. LDMC (Lower Divisional Military Course) and other qualifying courses are required.","promotion, ACR, confidential report, Naik, Havildar, Subedar, JCO, other ranks, sepoy, career progression"
41,Administrative,Welfare,Ex-Servicemen Welfare Schemes,"Key welfare schemes for soldiers and veterans: ECHS (Ex-Servicemen Contributory Health Scheme) — healthcare for ESM and dependents at ECHS polyclinics and empanelled hospitals. Canteen Stores Department (CSD) — subsidized goods. OROP (One Rank One Pension) — uniform pension for same rank and service. Sainik Boards at district, state, and central level for welfare issues. Army Wives Welfare Association (AWWA). PM Scholarship for children of deceased/disabled soldiers. Veterans India portal for online grievance redressal.","ECHS, welfare, OROP, CSD, canteen, veterans, pension, Sainik Board, AWWA, ex-servicemen"
42,Administrative,Welfare,Casualty and Next of Kin Procedures,"In the event of a soldier becoming a casualty: immediate informing of unit Adjutant, who informs the Commanding Officer. Official communication to family via Record Office — do not allow unofficial information to reach family first. Battle casualty: ex-gratia payment, pension continuation, disability pension (if applicable). Next of Kin (NOK) details must be kept updated in service documents. If a soldier dies in action, the family receives Veer Nari (war widow) status with associated benefits including priority government housing.","casualty, next of kin, NOK, war widow, Veer Nari, battle casualty, death in service, compensation, record office, pension"
43,Medical,Mental Health,Combat Stress and PTSD,"Combat stress is a normal response to abnormal situations. Immediate stress reactions (during/just after combat): confusion, trembling, tears, aggression. Delayed reactions (weeks-months later): flashbacks, nightmares, hypervigilance, emotional numbing, avoidance — this is Post-Traumatic Stress Disorder (PTSD). The Indian Army increasingly has formal mental health support through NIMHANS collaboration and unit medical officers. It is NOT a sign of weakness — it is a physiological injury. Soldiers experiencing these symptoms must report to the MO. Early treatment significantly improves outcomes.","PTSD, combat stress, mental health, flashback, nightmare, hypervigilance, Post-Traumatic Stress Disorder, psychological, battle fatigue, MO"
44,Medical,Mental Health,Buddy Aid and Suicide Prevention,"The Indian Army has a Buddy System where soldiers are paired to watch out for each other's mental and physical wellbeing. Warning signs a buddy may need help: giving away possessions, saying goodbye in a final way, sudden calmness after depression, withdrawal from unit activities, dramatic mood changes, talking about feeling worthless. Action: engage in conversation, listen without judgment, immediately inform the section commander and MO — this is the correct action, not a betrayal. All such cases are handled with confidentiality.","buddy system, suicide prevention, mental health, welfare, warning signs, section commander, MO, confidentiality, soldier welfare"
45,Technical,NBC,Radiation Exposure and Protection,"Nuclear detonation hazards: blast, heat, initial radiation, fallout (residual radiation). Protective measures: distance (most effective), shielding (dense materials — concrete, earth, lead absorb gamma), time (reduce exposure duration). In a fallout area: stay indoors in brick/concrete building, seal gaps with wet cloth, switch off ventilation, remove outer clothing before entering shelter (removes 80% of contamination). Dosimetry: radiation dose measured in mSv/Gy. Army issues personal dosimeters to track cumulative dose. KI (Potassium Iodide) tablets protect thyroid from radioactive iodine — only effective if taken before or just after exposure.","radiation, nuclear, fallout, dosimeter, shielding, potassium iodide, KI tablet, CBRN, gamma radiation, detonation"
46,Tactical,Mountain Warfare,Rock Climbing and Rappelling,"Basic mountaineering skills are essential for high-altitude operations in Jammu & Kashmir, Himachal Pradesh, and Uttarakhand. Rappelling (abseiling): controlled descent on rope. Key knots: Figure-8 (anchor), Bowline (harness tie-in), Clove hitch (quick attachment), Prussik (self-arrest). Three points of contact always maintained when climbing. Belay system: one person always anchored and protecting the climber. Equipment: carabiners, belay devices, harness, helmet, pitons. The High Altitude Warfare School (HAWS) at Gulmarg trains soldiers in these skills.","mountaineering, rappelling, rock climbing, HAWS, Gulmarg, knots, belay, carabiner, high altitude, mountain warfare"
47,Tactical,Mountain Warfare,Avalanche Awareness and Survival,"Avalanche risk is constant in Siachen, Kargil, and high-altitude postings — the Indian Army loses more soldiers to avalanches annually than to enemy action. High-risk conditions: recent heavy snowfall (within 24 hours), temperature rise, wind-loaded slopes, convex slope features, previous avalanche debris. If caught in an avalanche: discard equipment, fight to stay on surface (swimming motion), cover mouth with arm as snow settles, create an air pocket before snow stops, try to push hand to surface. Bury a glove as marker. Rescue: buried victims have 90% survival if found in 15 minutes, dropping rapidly after 45 minutes.","avalanche, Siachen, snow, high altitude, survival, rescue, avalanche beacon, winter warfare, Kargil"
48,Tactical,Urban Warfare,Room Clearing Procedures,"Room clearing is a dangerous task requiring precision. Four-man team standard: number 1 and 2 make entry (cross immediately to opposite corners), number 3 and 4 follow to clear remaining corners. Never stack against the door (fatal funnel). Grenade: shout 'GRENADE!' before throwing into room, take cover, enter after detonation — 'Clear!' call. Pie the door: incrementally clear visible area before entry. Clearing direction: always work from the dominant corner. Communicate constantly: 'Covering left!', 'Moving right!', 'Room clear!'. In Indian context practiced extensively for Kashmir counter-insurgency operations.","room clearing, urban warfare, FIBUA, close quarter battle, CQB, fatal funnel, grenade, Kashmir, infantry tactics"
49,Tactical,Urban Warfare,Operating in Urban Environment,"FIBUA (Fighting In Built-Up Areas) principles: move along walls not across open streets, use shadows, avoid windows (silhouette danger), use multiple routes, communicate with hand signals when possible. Rooftops: valuable observation but dangerous — silhouette against sky. Breach: door (kick, ram, explosive), wall (sledgehammer, C2 explosive, vehicle). Dominate the high ground — control of upper floors is critical. Civilian presence: strict ROE (Rules of Engagement) must be followed. Collateral damage prevention is operational, legal, and moral imperative. Lessons from Srinagar operations extensively documented by Indian Army.","FIBUA, urban warfare, built-up area, Srinagar, ROE, rules of engagement, civilians, rooftop, breach, hand signals"
50,General Knowledge,History,Indian Army Battle Honours,"Important battles and operations in Indian Army history: Battle of Longewala (1971) — small force held Pakistan armor with air support (basis of movie Border). Operation Vijay (1961) — Goa liberation. Operation Blue Star (1984) — Golden Temple. Operation Pawan (1987-1990) — Sri Lanka IPKF. Operation Vijay (1999) — Kargil War. Operation Parakram (2001-2002) — mobilization after Parliament attack. Operation Rakshak — ongoing counter-insurgency J&K. PVC (Param Vir Chakra) — India's highest gallantry award, equivalent to Victoria Cross/Medal of Honor.","Longewala, Battle Honours, Operation Vijay, Kargil, Operation Pawan, IPKF, Param Vir Chakra, PVC, gallantry, Indian Army history"
